name,U1_index,U2_index,Bridge_atom1,Bridge_atom2,smiles,delta_E,COS2,E_0,E_10,E_20,E_30,E_40,E_50,E_60,E_70,E_80,E_90,E_100,E_110,E_120,E_130,E_140,E_150,E_160,E_170,E_180,dihes_1,dihes_2,dihes_3,dihes_4,ori_ang,new_name,new_cos2
14773,101,111,14,15,[H]c1c([H])c2c3c(=O)n(C([H])([H])[H])c(=O)c4c5c([H])c([H])c(-c6nc7c([H])c8sc([H])nc8c([H])c7s6)c([H])c([H])c-5c5c(=O)n(C([H])([H])[H])c(=O)c(c-2c([H])c([H])c1[H])c3c45,5.55340155,0.914342844,0,0.03765018,0.20707599,0.60867791,1.30520624,2.2590108,3.36341608,4.43017118,5.24592508,5.55340155,5.23337502,4.392521,3.29439075,2.18371044,1.23618091,0.55847767,0.16942581,0.02510012,0.01255006,13,14,15,16,0.0044,19107,0.914343813
6307,115,30,13,14,[H]c1c([H])c([H])c(-c2nc3c([H])c4nsnc4c(C4=C5C(=O)N(C([H])([H])[H])C([H])=C5C(=O)N4C([H])([H])[H])c3nc2-c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],32.96273259,0.329533609,13.22776324,18.76861473,25.36994629,32.96273259,1.1922557,0.67770324,0.87222917,1.43070684,2.02683469,2.32803613,1.8197587,0.74672857,0,0,0.8785042,2.75473817,5.49065125,9.35606973,14.34471858,12,13,14,15,0.0044,7749,0.329569153
14466,133,97,1,2,[H]c1c(-c2sc3nc([H])c([H])c([H])c3c2[H])sc([H])c1-c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],3.49519171,0.840431272,0,0.00627503,0.04392521,0.21962605,0.59612785,1.17970564,1.92015918,2.68571284,3.27556566,3.49519171,3.25674057,2.70453793,2.05820984,1.48718211,1.09813025,0.9412545,1.0040048,1.17343061,1.26755606,0,1,2,3,0.0044,18596,0.840409274
1416,5,64,4,5,[H]c1nc([H])sc1-c1c([H])c([H])c(N(c2c([H])c([H])c([H])c([H])c2[H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],2.71708799,0.770459018,0.3765018,0.23845114,0.05020024,0,0.1882509,0.627503,1.255006,1.93270924,2.49118691,2.71708799,2.53511212,2.02683469,1.38678163,0.79065378,0.35767671,0.16315078,0.19452593,0.32630156,0.3765018,3,4,5,6,0.0045,1687,0.770452531
3861,16,16,11,12,[H]c1c([H])sc2c1C(F)(F)c1c-2sc(-c2sc3c(c2[H])C(F)(F)c2c-3sc([H])c2[H])c1[H],3.05593961,0.798416046,0.99145474,0.90987935,0.75927863,0.67770324,0.78437875,1.1295054,1.67543301,2.31548607,2.86141368,3.05593961,2.77356326,2.15861032,1.44953193,0.8157539,0.33885162,0.06902533,0,0.04392521,0.08157539,10,11,12,13,0.0045,4719,0.798436883
6862,87,33,7,8,[H]c1c(F)c([H])c(F)c([H])c1-c1sc2c(c1[H])C(C([H])([H])[H])(C([H])([H])[H])c1c-2sc([H])c1[H],3.75246794,0.820637843,0.22590108,0.13805066,0,0.03765018,0.35767671,0.97890468,1.82603373,2.72963805,3.45754153,3.75246794,3.47636662,2.75473817,1.85740888,1.01027983,0.3765018,0.04392521,0,0.13805066,0.22590108,6,7,8,9,0.0045,8460,0.820637488
4370,19,36,20,21,[H]c1c([H])c2c(c(F)c1[H])N(C([H])([H])[H])C(=O)/C2=C1/C(=O)N(C([H])([H])[H])c2c(F)c(-c3c([H])c4c5nsnc5c([H])c([H])c4c4nsnc34)c([H])c([H])c21,9.89572231,0.493849308,2.54138715,1.85740888,0.8785042,0.19452593,0,0.30747647,0.9412545,1.6315078,2.08958499,2.1335102,1.70053313,0.98517971,0.34512665,0.09412545,0.47690228,1.65033289,3.69599267,6.58250647,9.89572231,18,20,21,22,0.0046,5344,0.493839482
12166,74,99,33,34,[H]c1c([H])c2c(c([H])c1[H])N(C([H])([H])[H])C(=O)/C2=C1/C(=O)Oc2c1c([H])c([H])c1c3c(c([H])c([H])c21)/C(=C1\C(=O)N(C([H])([H])[H])c2c([H])c(-c4sc5c(c4[H])c(=O)n(C([H])([H])[H])c(=O)c4c([H])c6c(c([H])c45)c(=O)n(C([H])([H])[H])c(=O)c4c([H])c([H])sc46)c([H])c([H])c21)C(=O)O3,4.02229423,0.844760639,0.22590108,0.18197587,0.11295054,0.21962605,0.60240288,1.27383109,2.13978523,3.04338955,3.75246794,4.02229423,3.73364285,3.0120144,2.09586002,1.21108079,0.52082749,0.11295054,0,0.08157539,0.15687575,32,33,34,35,0.0046,15300,0.844764314
11623,79,69,2,3,[H]c1c([H])c(-c2c([H])c([H])c3c([H])c4c([H])c([H])c([H])c([H])c4c([H])c3c2[H])c2nn(C([H])([H])[H])nc2c1[H],3.28811572,0.722927564,0.71535342,0.48945234,0.11922557,0,0.26982629,0.91615438,1.78210852,2.61668751,3.17516518,3.28811572,2.90533889,2.16488535,1.31148127,0.57730276,0.15687575,0.16315078,0.57730276,1.19853073,1.54993241,1,2,3,4,0.0046,14557,0.722924384
5078,106,23,10,11,[H]c1c([H])c2c(c([H])c1[H])C(=O)c1c([H])c(-c3sc4c(c3[H])N(C([H])([H])[H])C(=O)/C4=C3/C(=O)N(C([H])([H])[H])c4c3sc([H])c4[H])c([H])c([H])c1-2,4.22937022,0.828542778,0.84712905,0.74672857,0.58357779,0.58985282,0.90360432,1.52483229,2.37823637,3.28184069,3.98464405,4.22937022,3.87169351,3.06221464,2.07703493,1.15460552,0.45180216,0.06902533,0,0.11922557,0.20707599,9,10,11,12,0.0046,6208,0.828562107
