smiles,index,HOMO,LUMO
O=C(c1cc2c3cc([Fr])sc3c4cc(C(N(C)C5=O)=O)c6c5cc7c8cc([Cs])sc8c9cc%10c1c%11c2c4c6c7c%119)N(C)C%10=O,126,-5.994399306,-3.104276512
[Fr]C1=C(C#N)C(C)=C([Cs])S1,127,-6.938362772,-1.266962784
[Fr]C1=C(OC)C(C#N)=C([Cs])C(OC)=C1C#N,128,-6.432502846,-2.266981734
[Fr]C1=CC(/C(C2=C3C=CC([Cs])=C2)=C(C#N)/C#N)=C3C=C1,129,-6.555498374,-3.230265294
CC(C=C1)=CC=C1C2=C([Fr])SC([Cs])=C2,130,-5.760109152,-0.636474646
[Fr]C1=CC(C=C(N(C)C2=C3C=C4C(C=C([Cs])S4)=C2)C3=C5)=C5S1,131,-5.092341396,-1.25308497
[Fr]C1=CC=C(N(C)C(C=CC([Cs])=C2)=C2S3)C3=C1,132,-5.030299404,-0.31701281
O=C1N(C)C([Cs])=C/C1=C(C=C([Fr])N2C)\C2=O,133,-5.207717732,-2.542088988
O=C1N2C3=C(N4C(C([Cs])=C3C5=C2C=CC=C5)=O)C(C6=CC=CC=C64)=C1[Fr],134,-5.593575384,-2.863727736
FC1=C(C(OC)=O)SC2=C([Cs])SC([Fr])=C12,135,-5.890995986,-1.866974154
[Fr]C1=CC(C(OC)=O)=C([Cs])S1,136,-6.694820742,-1.08165315
[Fr]c(c1)sc2c1c(c3ccc(OC)cc3)c4c(C=C([Cs])S4)c2c5ccc(OC)cc5,137,-5.036013798,-1.00954294
Cc1c(F)cc(c2c3c(SC([Cs])=C3)c(c4cc(F)c(C)c(F)c4)c5c2sc([Fr])c5)cc1F,138,-5.555751538,-1.253357084
[Fr]c1cc2c(c3cc(OC)ccc3)c4c(C=C(S4)[Cs])c(c5cccc(OC)c5)c2s1,139,-5.167716974,-1.100156902
[Fr]c1cc2c(c3ccc(C)cc3)c4c(C=C(S4)[Cs])c(c5ccc(C)cc5)c2s1,140,-5.251528086,-0.951310544
Cc1c(Cl)cc(c(c(sc([Fr])c2)c2c3c4sc(C)c(Cl)c4)c5c3sc([Cs])c5)s1,141,-5.436565606,-1.652276208
[Fr]c1cc2c(c3cc(F)c(OC)c(F)c3)c4c(C=C(S4)[Cs])c(c5cc(F)c(OC)c(F)c5)c2s1,142,-5.424048362,-1.395400592
[Fr]c1cc2c(c3ccc(SC)cc3)c4c(C=C(S4)[Cs])c(c5ccc(SC)cc5)c2s1,143,-5.142138258,-1.15920564
[Fr]c1cc2c(c3cccc(SC)c3)c4c(C=C(S4)[Cs])c(c5cc(SC)ccc5)c2s1,144,-5.319284472,-1.249819602
FC1=C([Fr])C2=NN(C)N=C2C([Cs])=C1F,145,-6.488286216,-1.537716214
[Cs]C1=CC(C2=NN(C)N=C2C([Fr])=C3)=C3C4=NN(C)N=C41,146,-5.810450242,-1.581254454
CC1=NC2=C(N=C1OC)C([Fr])=C(F)C(F)=C2[Cs],147,-6.364202232,-1.726835444
CN1C2=CC([Fr])=CC=C2C3=CC(N4C)=C(C5=C4C=C([Cs])C=C5)C=C31,148,-4.7892064,-0.971174866
[Fr]C1=NC(C)=C([Cs])S1,149,-6.54298113,-0.586949898
CC1=C([Fr])SC2=C1SC3=C2SC4=C3SC5=C4SC([Cs])=C5C,150,-5.206357162,-1.423428334
[Fr]C1=C2C(N=C3C(C4=CC=CC5=C4C3=CC=C5)=N2)=C([Cs])S1,151,-5.729088156,-2.156775564
[Fr]C(C=C1)=CC2=C1SC3=C2SC4=C3C=C([Cs])C=C4,152,-5.579425456,-1.264241644
[Fr]C1=C(C2=CC=CC3=C2C4=CC=C3)C4=C([Cs])C1=O,153,-5.687454714,-2.624267416
[Fr]C1=CC(OC)=C(S1)[Cs],154,-5.779157132,-0.041905556
[Fr]C1=NN=C([Cs])N=N1,155,-6.822170094,-3.150808006
CC1=CC2=C(C=C1C)C3=C(SC([Fr])=C3)C4=C2C=C([Cs])S4,156,-5.388401428,-1.140429774
[Fr]C1=CC(C2=C/3C=CC=C2)=C(C3=C4C5=C(C6=C\4C=CC=C6)C=C([Cs])S5)S1,157,-5.275202004,-2.565762906
[Fr]C1=CC=C([Cs])N1,158,-5.4830971,1.386148716
[Cs]C1=C2C(OCCO2)=C([Fr])S1,159,-5.805007962,-0.04489881
FC1=C(C(C)=O)SC2=C([Fr])SC([Cs])=C21,160,-5.967732134,-2.033507922
O=C(C1=C(C)SC(C)=C12)C3=C([Cs])SC([Fr])=C3C2=O,161,-6.482299708,-2.117319034
[Fr]/C=C/[Cs],162,-7.255103468,0.511030092
[Fr]C1=CC(C2=CC=CS2)=C([Cs])S1,163,-5.602010918,-0.99185553
[Fr]C#C[Cs],164,-7.671710002,1.426693702
FC1=C([Fr])C=CC([Cs])=C1,165,-6.62053362,-0.23537861
CN1N=C2C(C([Fr])=CN=C2[Cs])=N1,166,-6.607472148,-1.686290458
[Fr]C1=CC=C([Cs])C2=C1N=CC=N2,167,-6.696453426,-1.924390208
[Cs]C1=CC2=C(C3=C(C4=NON=C24)C=C([Fr])S3)S1,168,-6.116034264,-2.257457744
O=C1OC(C=C([Cs])S2)=C2C3=C1C=C([Fr])S3,169,-5.929908288,-1.816905178
CO/C([Fr])=C([Cs])/OC,170,-5.425408932,1.205737134
O=C1C2=C(SC([Fr])=C2)C3=C1C=C4C5=C(C=C([Cs])S5)C(C4=C3)=O,171,-5.779973474,-3.041146064
O=C1C2=CC=C3C4=NC5=C(N=C4C6=CC=C(C(N1C)=O)C2=C63)C([Cs])=C(N=C7C(C8=CC=C9C(N(C)C(C%10=CC=C7C8=C%109)=O)=O)=N%11)C%11=C5[Fr],172,-6.363658004,-3.33067536
[Cs]C1=CC(/C(C2=CC(C3=C(/C4=C(C#N)/C#N)C=C([Fr])C=C3)=C4C=C52)=C(C#N)/C#N)=C5C=C1,173,-6.4899189,-3.951639508
[Fr]C1=CC=C2C(C(C3=CC4=C(C=C32)C(C5=CC([Cs])=CC=C45)(C)C)(C)C)=C1,174,-5.323366182,-1.094986736
[Fr]C1=CC(C2=CC(F)=C(S2)SC)=C3C(SC([Cs])=C3)=C1C4=CC(F)=C(S4)SC,175,-5.779157132,-1.93609111
[Cs]C1=CC2=CC3=C(C=C2S1)N(C)C4=CC5=C(C=C([Fr])S5)C=C34,176,-5.032476316,-0.913758812
FC1=C([Cs])C2=C(N=C(C(C3=CC(OC)=CC=C3)=N2)C4=CC=CC(OC)=C4)C([Fr])=C1,177,-5.879295084,-1.977996666
CC1=C([Cs])[Se]C2=C1[Se]C([Fr])=C2C,178,-5.572622606,-0.682461912
[Fr]C1=CC2=C(C=C3C([Se]C([Cs])=C3)=C2)[Se]1,179,-5.357380432,-1.100156902
[Fr]C1=CC=C([Cs])C2=NON=C12,180,-6.85863337,-2.44358372
[Cs]C1=CC2=C(S1)C=C([Fr])C=C2,181,-5.882832566,-0.644365952
CN1C(C2=C3C4=C(C(N(C)C(C4=C5S/C(SC5=C3C1=O)=C([Cs])\C#N)=O)=O)C6=C2S/C(S6)=C([Fr])\C#N)=O,182,-6.218077014,-3.942115518
CN(C1=O)C(C2=C(C3=C1C(SC(C4=C5C(SC(C6=C7C(SC(C8=C9C(SC(C%10=C(C(N%11C)=O)C=C([Fr])S%10)=C%12C%11=O)=C%12S8)=C%13C(N(C9=O)C)=O)=C%13S6)=C%14C(N(C7=O)C)=O)=C%14S4)=C%15C(N(C5=O)C)=O)=C%15S3)SC([Cs])=C2)=O,183,-5.605276286,-3.322239826
